API v2.0.0
Time,P4,Fz,Pz,P3,PO8,PO7,Oz,Trial,Num_Sequences,Sequence,Tag,Label,Flash_Event
0.990134,-689.290000,-82.698758,-667.717868,-850.496591,-621.643906,-293.497781,-901.676502,-1,-1,-1,-1,-1,-1
0.994068,-700.126000,-83.925392,-665.670511,-849.646611,-645.949261,-289.641494,-912.212944,-1,-1,-1,-1,-1,-1
0.998068,-692.902000,-76.701392,-657.547672,-842.122970,-638.425942,-278.519540,-899.896461,-1,-1,-1,-1,-1,-1
1.002048,-689.892000,-72.490221,-652.440382,-836.715846,-629.728881,-278.208123,-889.397515,-1,-1,-1,-1,-1,-1
1.006037,-687.183000,-69.480928,-653.027124,-832.808284,-633.904218,-266.503846,-895.375692,-1,-1,-1,-1,-1,-1
1.010023,-685.979000,-71.880441,-649.126608,-830.705363,-621.625415,-254.205670,-876.497780,-1,-1,-1,-1,-1,-1
1.014016,-696.815000,-77.311172,-663.258350,-849.631656,-630.066863,-285.730809,-898.117862,-1,-1,-1,-1,-1,-1
1.018007,-691.096000,-85.405636,-661.434318,-851.703310,-613.273060,-282.110707,-876.522297,-1,-1,-1,-1,-1,-1
1.021998,-700.126000,-79.721294,-666.868963,-849.946251,-633.377863,-274.349522,-906.820903,-1,-1,-1,-1,-1,-1
1.025994,-707.049000,-69.827903,-674.091576,-857.768173,-639.702225,-287.269374,-918.536829,-1,-1,-1,-1,-1,-1
1.029994,-712.768000,-69.541049,-674.417543,-859.292206,-643.924630,-292.088846,-921.260250,-1,-1,-1,-1,-1,-1
1.033965,-705.845000,-78.833855,-668.992608,-851.470284,-628.920017,-286.964901,-896.962896,-1,-1,-1,-1,-1,-1
1.037949,-694.106000,-75.202757,-661.148576,-851.417264,-612.990551,-287.819290,-872.342909,-1,-1,-1,-1,-1,-1
1.041985,-696.213000,-77.309757,-663.854802,-849.029656,-624.975078,-284.229281,-907.101713,-1,-1,-1,-1,-1,-1
1.045951,-704.641000,-89.341270,-664.492865,-852.363768,-635.498311,-280.963420,-902.948284,-1,-1,-1,-1,-1,-1
1.049935,-694.106000,-86.313587,-658.751672,-846.023735,-611.493956,-269.528892,-880.131413,-1,-1,-1,-1,-1,-1
1.053908,-695.009000,-80.610148,-658.755834,-843.930330,-605.811938,-270.132049,-889.122474,-1,-1,-1,-1,-1,-1
1.057918,-700.728000,-73.116269,-662.377543,-845.454363,-625.598931,-274.951522,-889.748991,-1,-1,-1,-1,-1,-1
1.061887,-714.273000,-79.754537,-672.626801,-854.804396,-640.341207,-277.702188,-907.487801,-1,-1,-1,-1,-1,-1
1.065894,-726.915000,-89.994196,-685.568414,-863.251429,-644.901594,-278.650327,-924.922726,-1,-1,-1,-1,-1,-1
1.069467,-717.584000,-86.969342,-681.930059,-858.714677,-620.006006,-269.319327,-904.208529,-1,-1,-1,-1,-1,-1
1.073407,-709.758000,-91.755636,-677.399802,-858.379689,-605.594988,-270.188763,-897.580760,-1,-1,-1,-1,-1,-1
1.077393,-728.721000,-106.814831,-687.674026,-862.660305,-644.911680,-262.465772,-909.054814,-1,-1,-1,-1,-1,-1
1.081372,-743.470000,-111.053586,-700.924962,-873.513978,-662.953189,-268.819180,-930.993202,-1,-1,-1,-1,-1,-1
1.085362,-731.129000,-110.123709,-695.175447,-868.064710,-643.129214,-268.771726,-922.546454,-1,-1,-1,-1,-1,-1
